"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "HTML", "vue", "XML", "CSS", "Log", "comment", "blank", "total"
"d:\WorkT\workTask-stage4\xinjiang\src\components\omap\js\gcj02.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 148
"d:\WorkT\workTask-stage4\xinjiang\src\components\omap\mapview.vue", "vue", 0, 0, 0, 0, 0, 640, 0, 0, 0, 2, 43, 685
"d:\WorkT\workTask-stage4\xinjiang\src\components\output\HeaderMenu.vue", "vue", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 3, 110
"d:\WorkT\workTask-stage4\xinjiang\src\components\output\OutPut.vue", "vue", 0, 0, 0, 0, 0, 676, 0, 0, 0, 7, 3, 686
"d:\WorkT\workTask-stage4\xinjiang\src\components\output\TriggerDetails.vue", "vue", 0, 0, 0, 0, 0, 373, 0, 0, 0, 0, 3, 376
"d:\WorkT\workTask-stage4\xinjiang\src\components\output\TriggerHistory.vue", "vue", 0, 0, 0, 0, 0, 307, 0, 0, 0, 1, 5, 313
"d:\WorkT\workTask-stage4\xinjiang\src\components\thematicCharting\activeFaultSurvey.vue", "vue", 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 3, 194
"d:\WorkT\workTask-stage4\xinjiang\src\components\thematicCharting\lossAssessment.vue", "vue", 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 4, 228
"d:\WorkT\workTask-stage4\xinjiang\src\components\thematicCharting\mapsRecords.vue", "vue", 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 4, 194
"d:\WorkT\workTask-stage4\xinjiang\src\components\thematicCharting\riskScreening.vue", "vue", 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 4, 232
"d:\WorkT\workTask-stage4\xinjiang\src\components\thematicCharting\thematicCharting.vue", "vue", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 3, 79
"d:\WorkT\workTask-stage4\xinjiang\src\components\thematicCharting\thematicTop.vue", "vue", 0, 0, 0, 0, 0, 168, 0, 0, 0, 1, 5, 174
"d:\WorkT\workTask-stage4\xinjiang\src\http\api\api-lhy.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\WorkT\workTask-stage4\xinjiang\src\http\api\api-ylc.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\WorkT\workTask-stage4\xinjiang\src\http\api\emergency.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\WorkT\workTask-stage4\xinjiang\src\http\http.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 46
"d:\WorkT\workTask-stage4\xinjiang\src\http\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 11
"d:\WorkT\workTask-stage4\xinjiang\src\js\funDebounce.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 43
"d:\WorkT\workTask-stage4\xinjiang\src\js\layer.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 75
"d:\WorkT\workTask-stage4\xinjiang\src\js\untils.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 101
"d:\WorkT\workTask-stage4\xinjiang\src\main.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\WorkT\workTask-stage4\xinjiang\src\ols\allicon.json", "JSON", 0, 1114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1114
"d:\WorkT\workTask-stage4\xinjiang\src\ols\format\KMLS.js", "JavaScript", 232, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 262
"d:\WorkT\workTask-stage4\xinjiang\src\ols\format\KMZ copy.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 29, 9, 160
"d:\WorkT\workTask-stage4\xinjiang\src\ols\format\KMZ.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 137
"d:\WorkT\workTask-stage4\xinjiang\src\ols\gcj02.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 148
"d:\WorkT\workTask-stage4\xinjiang\src\ols\gifler.js", "JavaScript", 699, 0, 0, 0, 0, 0, 0, 0, 0, 207, 148, 1054
"d:\WorkT\workTask-stage4\xinjiang\src\ols\interaction\Elevation.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 156
"d:\WorkT\workTask-stage4\xinjiang\src\ols\interaction\Geomagnetism.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 111
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\AQICN.js", "JavaScript", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 227
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\BaseMapLayer.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 68, 9, 187
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\CEDPC.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 0, 0, 35, 8, 184
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\CEIC.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 122
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\CustomVec.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\EPID.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 86
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\ESRI.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\GD.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\IGL.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 121
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\Img.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 49
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\Local.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 104
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\Member.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\PSRegion.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 149
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\Plot.js", "JavaScript", 182, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 188
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\Prjform.js", "JavaScript", 186, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 201
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\SeaLand.js", "JavaScript", 296, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 317
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\SeaLandConfig.js", "JavaScript", 4824, 0, 0, 0, 0, 0, 0, 0, 0, 25, 23, 4872
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\TDT.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\Track.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 112
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\USGS.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 71
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\VecAndImg.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 95
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\customTile.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\ngac.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\ngacv.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 108
"d:\WorkT\workTask-stage4\xinjiang\src\ols\layer\qiusuo1.js", "JavaScript", 975, 0, 0, 0, 0, 0, 0, 0, 0, 89, 27, 1091
"d:\WorkT\workTask-stage4\xinjiang\src\ols\overlay\Popup.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 453, 0, 92, 19, 564
"d:\WorkT\workTask-stage4\xinjiang\src\ols\overlay\popup.js", "JavaScript", 461, 0, 0, 0, 0, 0, 0, 0, 0, 175, 49, 685
"d:\WorkT\workTask-stage4\xinjiang\src\ols\overlay\popup1.js", "JavaScript", 295, 0, 0, 0, 0, 0, 0, 0, 0, 141, 36, 472
"d:\WorkT\workTask-stage4\xinjiang\src\ols\overlay\popups.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 903, 61, 1028
"d:\WorkT\workTask-stage4\xinjiang\src\ols\overlay\popups2.js", "JavaScript", 762, 0, 0, 0, 0, 0, 0, 0, 0, 162, 53, 977
"d:\WorkT\workTask-stage4\xinjiang\src\ols\overlay\x.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\WorkT\workTask-stage4\xinjiang\src\ols\path.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\WorkT\workTask-stage4\xinjiang\src\ols\proj\datum\bd-09.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"d:\WorkT\workTask-stage4\xinjiang\src\ols\proj\datum\gcj-02.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 73
"d:\WorkT\workTask-stage4\xinjiang\src\ols\proj\datum\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\WorkT\workTask-stage4\xinjiang\src\ols\proj\index.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\WorkT\workTask-stage4\xinjiang\src\ols\proj\projection\baidu-mercator.js", "JavaScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 161
"d:\WorkT\workTask-stage4\xinjiang\src\ols\proj\projection\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 12
"d:\WorkT\workTask-stage4\xinjiang\src\ols\proj\projection\spherical-mercator.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\WorkT\workTask-stage4\xinjiang\src\ols\proj\util.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\WorkT\workTask-stage4\xinjiang\src\ols\reproj.js", "JavaScript", 286, 0, 0, 0, 0, 0, 0, 0, 0, 122, 41, 449
"d:\WorkT\workTask-stage4\xinjiang\src\ols\reproj\reporjs.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 163
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\AQICN.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 123
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\CEDPC.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 81
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\CEIC.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 66
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\CustomTile.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 81
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\CustomVec.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\EPID.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 59
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\ESRI.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\Flat.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\GB18306.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 101
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\GD.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\IGL.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 82
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\KMZ.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\Local.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 111
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\Member.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 96
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\Plot.js", "JavaScript", 245, 0, 0, 0, 0, 0, 0, 0, 0, 72, 7, 324
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\Prjform.js", "JavaScript", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 237
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\TDT.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\Track.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\USGS.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
